category,extra_name,main_name,price,subcategory,unit_price
Tørkepapir og vaskemidler,595 ml,OMO Aktiv & Sport,"kr 68,80",Klesvask,"kr 115,63 per l"
Tørkepapir og vaskemidler,"Ull & Silke, 600 ml",Klar Tøyvask,"kr 52,60",Klesvask,"kr 87,67 per l"
Mathall,"1,8 kg",Hel Indrefilet av Storfe,"kr 699,00",Kjøttdisken,"kr 388,33 per kg"
Mathall,ca. 1 kg,Reinsdyr Indrefilet Hel,"kr 599,00",Kjøttdisken,"kr 599,00 per kg"
Mathall,1 kg,Reinsdyr Ytrefilet Hel,"kr 649,00",Kjøttdisken,"kr 649,00 per kg"
Mathall,Ca 3kg,Hel Entrecote av Storfe,"kr 1605,60",Kjøttdisken,"kr 535,20 per kg"
Mathall,2 kg,Hel Ytrefilet av Okse,"kr 549,00",Kjøttdisken,"kr 274,50 per kg"
Mathall,4 stk,"Hamburger med Koriander, Chili og Persille","kr 149,00",Kjøttdisken,"kr 232,81 per kg"
Mathall,"Fra New Zealand, 1,1 kg",Lammecarré,"kr 399,00",Kjøttdisken,"kr 362,73 per kg"
Hus og hjem,20 stk,Isbitposer,"kr 27,00",Poser og folie,"kr 1,35 per stk"
Hus og hjem,45 stk,Bleieposer,"kr 22,10",Poser og folie,"kr 0,49 per stk"
Hus og hjem,40 stk,Hundeposer,"kr 13,90",Poser og folie,"kr 0,35 per stk"
Hus og hjem,"125l, 6 stk",Avfallssekk med Snørelukking Ekstra Kraftig,"kr 35,60",Poser og folie,"kr 5,93 per stk"
Hus og hjem,50 stk,Tynne Avfallsposer 30l,"kr 26,70",Poser og folie,"kr 0,53 per stk"
